id,time,lat,long,mag,nst,net
ci40994743,8100,35.3228333,-117.8068333,1.68,44,ci
ci40994735,8090,35.3581667,-117.8008333,1.71,40,ci
nc75195896,8080,38.83733368,-122.7906647,1.06,18,nc
us6000qkdl,8070,-55.8893,-26.5991,5.3,61,us
ci40994727,8060,35.771,-117.6113333,1.13,23,ci
ci40994719,8030,33.4238333,-116.3915,1.07,61,ci
ci40994711,8020,34.2365,-117.4496667,1.15,37,ci
nc75195871,7990,38.82249832,-122.7666702,0.95,14,nc
us6000qkdd,7980,81.2304,118.5374,4.9,89,us
nc75195866,7970,36.58116531,-121.1393356,1.32,12,nc
uw62128661,7950,47.72283333,-122.6091667,1.81,53,uw
ci40994687,7930,35.3206667,-118.5721667,1.8,44,ci
nc75195841,7920,38.82183456,-122.8044968,1.08,26,nc
ci40994663,7910,35.8673333,-117.6686667,1.09,23,ci
tx2025lqwkhk,7900,30.947,-103.997,2.8,8,tx
tx2025lqwjsl,7890,31.954,-103.377,2.7,24,tx
nn00898939,7880,37.2032,-114.552,1.6,11,nn
tx2025lqusgo,7860,31.686,-104.364,1.5,26,tx
nc75195826,7850,38.81383514,-122.8066635,1.06,10,nc
nc75195816,7840,38.79633331,-122.7786636,1.14,23,nc
ci40994543,7830,34.2968333,-118.4886667,1.32,37,ci
ci40994527,7820,33.9816667,-117.1686667,1.05,28,ci
tx2025lqsikx,7810,32.194,-101.407,1.5,44,tx
nc75195796,7800,36.10816574,-121.5705032,1.46,11,nc
nn00898937,7790,39.3618,-119.7886,1.4,12,nn
pr71485783,7780,17.987,-66.8265,2.25,6,pr
us6000qkck,7770,38.384,40.2959,4.2,42,us
nc75195776,7750,38.81283188,-122.8073349,1.15,26,nc
ci40994471,7740,34.1675,-116.4225,0.99,29,ci
nc75195756,7730,36.53783417,-121.1511688,1.49,12,nc
nn00898936,7720,40.1525,-119.1422,1.4,8,nn
us6000qkc5,7710,-36.5633,-110.6681,5,52,us
hv74698277,7690,19.86650085,-156.7330017,3,30,hv
us6000qkbx,7680,-56.9977,147.5223,4.5,31,us
nn00898935,7670,40.1435,-119.1437,1.4,8,nn
av93638176,7660,52.01816667,178.3053333,1.06,5,av
us6000qkbr,7650,-19.9202,-173.6181,5.1,129,us
uw62128441,7640,46.16383333,-122.5271667,1.04,19,uw
av93638101,7630,52.01666667,178.286,1.93,8,av
nc75195686,7610,38.78666687,-122.7630005,1.25,15,nc
nc75195681,7600,38.82133484,-122.7633362,1.47,28,nc
nc75195676,7590,38.81516647,-122.8188324,1.07,21,nc
ci40994255,7580,33.1453333,-115.9821667,1.74,61,ci
ci40994247,7570,35.3196667,-117.8005,1.17,33,ci
nc75195671,7560,38.8125,-122.8078308,1.08,22,nc
us6000qkch,7540,56.7092,-148.1205,3,49,us
nc75195661,7530,36.82966667,-121.2953333,0.97,23,nc
